app_id,app_categories,primary_category,enablement_only,has_enablement_hits,has_non_enablement_hits,txt_files_scanned,files_with_hits,total_term_hits
ai_realvr_villa-decoded,Biometric Signals & Metrics;Eye-Tracking Enablement;Foveated Rendering;Raw Data Collection,Foveated Rendering,0,1,1,,,
com_Ace_Ace-decoded,Eye-Tracking Enablement;Foveated Rendering;Raw Data Collection,Foveated Rendering,0,1,1,,,
com_AgainstGravity_RecRoom-decoded,Biometric Signals & Metrics;Eye-Tracking Enablement;Foveated Rendering;Gaze Geometry;Raw Data Collection,Foveated Rendering,0,1,1,,,
com_AnotherAxiom_GorillaTag-decoded,Biometric Signals & Metrics;Eye-Tracking Enablement;Foveated Rendering;Gaze Geometry;Raw Data Collection,Foveated Rendering,0,1,1,,,
com_AnthonyStudios_GunWorldVR-decoded,Biometric Signals & Metrics;Eye-Tracking Enablement;Foveated Rendering,Foveated Rendering,0,1,1,,,
com_BlackLoboGaming_SmashRoomVR-decoded,Eye-Tracking Enablement;Foveated Rendering;Raw Data Collection,Foveated Rendering,0,1,1,,,
com_BlackLoopGames_DirtBikerVR-decoded,Eye-Tracking Enablement;Foveated Rendering;Raw Data Collection,Foveated Rendering,0,1,1,,,
com_BlitzFyre_MokeTheDescent-decoded,Eye-Tracking Enablement;Foveated Rendering;Raw Data Collection,Foveated Rendering,0,1,1,,,
com_CMVR_DownshotVR-decoded,Biometric Signals & Metrics;Eye-Tracking Enablement;Foveated Rendering;Raw Data Collection,Foveated Rendering,0,1,1,,,
com_CapuDev_CapuCompany-decoded,Eye-Tracking Enablement;Foveated Rendering;Raw Data Collection,Foveated Rendering,0,1,1,,,
com_ContinuumXR_UG-decoded,Eye-Tracking Enablement;Foveated Rendering;Raw Data Collection,Foveated Rendering,0,1,1,,,
com_DIVR_AimAssaultDemo-decoded,Eye-Tracking Enablement;Foveated Rendering;Raw Data Collection,Foveated Rendering,0,1,1,,,
com_DeoVR_Hyper-decoded,Eye-Tracking Enablement;Foveated Rendering;Raw Data Collection,Foveated Rendering,0,1,1,,,
com_DoubleVerse_BoxingMiniGames-decoded,Eye-Tracking Enablement;Foveated Rendering;Raw Data Collection,Foveated Rendering,0,1,1,,,
com_EvansTaylorDigital_MatchPointTennis-decoded,Eye-Tracking Enablement;Foveated Rendering;Raw Data Collection,Foveated Rendering,0,1,1,,,
com_FakeSouls_RoadReadyVR-decoded,Biometric Signals & Metrics;Eye-Tracking Enablement;Foveated Rendering;Gaze Geometry,Foveated Rendering,0,1,1,,,
com_Figment_MiniMayhem-decoded,Eye-Tracking Enablement;Foveated Rendering;Raw Data Collection,Foveated Rendering,0,1,1,,,
com_HB_TheMightyMine-decoded,Biometric Signals & Metrics;Eye-Tracking Enablement;Foveated Rendering;Gaze Geometry;Raw Data Collection,Foveated Rendering,0,1,1,,,
com_IRLStudios_GymClass-decoded,Biometric Signals & Metrics;Foveated Rendering;Gaze Geometry,Foveated Rendering,0,0,1,,,
com_InfamusEntertainment_FormationDemo-decoded,Eye-Tracking Enablement;Foveated Rendering;Raw Data Collection,Foveated Rendering,0,1,1,,,
com_IsekaiEntertainment_Gv100-decoded,Eye-Tracking Enablement;Foveated Rendering;Raw Data Collection,Foveated Rendering,0,1,1,,,
com_JustJamesGames_GangWarfare-decoded,Eye-Tracking Enablement;Foveated Rendering;Raw Data Collection,Foveated Rendering,0,1,1,,,
com_KahlemichProduction_CubicVerse-decoded,Eye-Tracking Enablement;Foveated Rendering;Raw Data Collection,Foveated Rendering,0,1,1,,,
com_Karma_LethalApe-decoded,Biometric Signals & Metrics;Eye-Tracking Enablement;Foveated Rendering;Gaze Geometry;Raw Data Collection,Foveated Rendering,0,1,1,,,
com_LuWiGames_GandalfsNextbots-decoded,Eye-Tracking Enablement;Foveated Rendering;Raw Data Collection,Foveated Rendering,0,1,1,,,
com_LuckyVR_PokerStarsVR-decoded,Biometric Signals & Metrics;Eye-Tracking Enablement;Foveated Rendering;Raw Data Collection,Foveated Rendering,0,1,1,,,
com_MDRNgamesInc_InvictusMenofIronVR-decoded,Biometric Signals & Metrics;Eye-Tracking Enablement;Foveated Rendering;Gaze Geometry;Raw Data Collection,Foveated Rendering,0,1,1,,,
com_Magnopus_MissionISS-decoded,Foveated Rendering,Foveated Rendering,0,0,1,,,
com_NewStory_StretchPunch-decoded,Eye-Tracking Enablement;Foveated Rendering;Raw Data Collection,Foveated Rendering,0,1,1,,,
com_Niorun_TierOne-decoded,Eye-Tracking Enablement;Foveated Rendering;Raw Data Collection,Foveated Rendering,0,1,1,,,
com_PIGIAMAKASAMA_PICKABOOM-decoded,Eye-Tracking Enablement;Foveated Rendering;Raw Data Collection,Foveated Rendering,0,1,1,,,
