00000140 Android
0000014c r16b
0000018c 4479499
00004e31 __cxa_guard_acquire
00004e45 __cxa_finalize
00004e54 LIBC
00004e59 libc.so
00004e61 jni\armeabi-v7a\libOVRPlugin.so
00004e81 __cxa_atexit
00004e8e abort
00004e94 __cxa_guard_release
00004ea8 _ZNSt10unique_ptrIN3OVR4Util10CompositorESt14default_deleteIS2_EED2Ev
00004eee __aeabi_unwind_cpp_pr1
00004f05 ovrp_PreInitialize3
00004f19 strncpy
00004f21 _ZN3OVR4Util10Compositor13PreInitializeEPv
00004f4c s_isPreInitialized
00004f5f __aeabi_unwind_cpp_pr0
00004f76 ovrp_GetInitialized
00004f8a strcasecmp
00004f95 s_instance
00004fa0 ovrp_Initialize5
00004fb1 _ZN3OVR4Util7Factory21CreateCompositorVRAPIE17ovrpRenderAPITypePFv12ovrpLogLevelPKcEPvS8_S8_S8_S8_iRK11ovrpVersionPPNS0_10CompositorE
00005037 _ZN3OVR4Util10Compositor24InitializeDatastructuresEv
0000506c __stack_chk_fail
0000507d __stack_chk_guard
0000508f ovrp_Shutdown2
0000509e ovrp_GetVersion2
000050af s_versionString
000050bf ovrp_GetNativeSDKVersion2
000050d9 ovrp_GetNativeSDKPointer2
000050f3 ovrp_GetDisplayAdapterId2
0000510d _ZN3OVR4Util10Compositor19GetDisplayAdapterIdEPPKv
00005140 ovrp_GetAudioOutId2
00005154 _ZN3OVR4Util10Compositor13GetAudioOutIdEPPKv
00005181 ovrp_GetAudioOutDeviceId2
0000519b _ZN3OVR4Util10Compositor19GetAudioOutDeviceIdEPPKv
000051ce ovrp_GetAudioInId2
000051e1 _ZN3OVR4Util10Compositor12GetAudioInIdEPPKv
0000520d ovrp_GetAudioInDeviceId2
00005226 _ZN3OVR4Util10Compositor18GetAudioInDeviceIdEPPKv
00005258 ovrp_GetInstanceExtensionsVk
00005275 _ZN3OVR4Util10Compositor23GetInstanceExtensionsVkEPPKcPi
000052ae ovrp_GetDeviceExtensionsVk
000052c9 _ZN3OVR4Util10Compositor21GetDeviceExtensionsVkEPPKcPi
00005300 ovrp_SetupDistortionWindow3
0000531c s_hasDistortionWindow
00005332 ovrp_DestroyDistortionWindow2
00005350 ovrp_GetDominantHand
00005365 ovrp_SetRemoteHandedness
0000537e ovrp_GetReorientHMDOnControllerRecenter
000053a6 ovrp_SetReorientHMDOnControllerRecenter
000053ce ovrp_SetColorScaleAndOffset
000053ea _ZN3OVR4Util10Compositor22SetColorScaleAndOffsetE12ovrpVector4fS2_b
0000542e ovrp_SetupLayer
0000543e pthread_setname_np
00005451 _ZN3OVR4Util10Compositor15ImportLayerDescERK13ovrpLayerDescP18ovrpLayerDescUnion
000054a2 _ZN3OVR4Util10Compositor10SetupLayerEPvRK18ovrpLayerDescUnioniPi
000054e3 ovrp_SetupLayerDepth
000054f8 _ZN3OVR4Util10Compositor15SetupLayerDepthEPv17ovrpTextureFormati
00005539 ovrp_GetEyeFovLayerId
0000554f _ZN3OVR4Util10Compositor16GetEyeFovLayerIdEPi
0000557d ovrp_GetLayerTextureStageCount
0000559c _ZN3OVR4Util10Compositor25GetLayerTextureStageCountEi
000055d2 ovrp_GetLayerTexture2
000055e8 fopen
000055ee _ZN3OVR4Util10Compositor15GetLayerTextureEii7ovrpEyePyS3_
00005628 getpid
0000562f ovrp_GetLayerAndroidSurfaceObject
00005651 fclose
00005658 _ZN3OVR4Util10Compositor28GetLayerAndroidSurfaceObjectEiPPv
00005694 fread
0000569a ovrp_GetLayerOcclusionMesh
000056b5 pthread_self
000056c2 _ZN3OVR4Util10Compositor21GetLayerOcclusionMeshEi7ovrpEyePPK12ovrpVector2fPiPPKiS7_
00005716 strlen
0000571d ovrp_DestroyLayer
0000572f _ZN3OVR4Util10Compositor12DestroyLayerEi
00005758 ovrp_CalculateLayerDesc
