apk,txt_file,category,category_confidence,term,example_count
ai_realvr_villa-decoded,normalized/ascii/lib__arm64-v8a__libOVRPlugin.so.txt,General Eye Tracking Enablement,high,eye tracking,2
ai_realvr_villa-decoded,normalized/ascii/lib__arm64-v8a__libOVRPlugin.so.txt,Eye-Tracking Enablement,low,eye track,6
ai_realvr_villa-decoded,normalized/ascii/lib__arm64-v8a__libOVRPlugin.so.txt,Eye-Tracking Enablement,low,eyeTrack,20
ai_realvr_villa-decoded,normalized/ascii/lib__arm64-v8a__libOVRPlugin.so.txt,Eye-Tracking Enablement,low,eyeTracking,6
ai_realvr_villa-decoded,normalized/ascii/lib__arm64-v8a__libOVRPlugin.so.txt,Foveated Rendering,high,XR_META_foveation_eye_tracked,3
ai_realvr_villa-decoded,normalized/ascii/lib__arm64-v8a__libOVRPlugin.so.txt,Foveated Rendering,medium,xrGetFoveationEyeTrackedStateMETA,2
ai_realvr_villa-decoded,normalized/ascii/lib__arm64-v8a__libOVRPlugin.so.txt,Raw Data Collection,high,ovrp_GetEyeAcceleration,1
ai_realvr_villa-decoded,normalized/ascii/lib__arm64-v8a__libOVRPlugin.so.txt,Raw Data Collection,high,ovrp_GetEyeVelocity,1
ai_realvr_villa-decoded,normalized/ascii/lib__arm64-v8a__libOVRPlugin.so.txt,Foveated Rendering,medium,ovrp_SetFoveationEyeTracked,1
ai_realvr_villa-decoded,normalized/ascii/lib__arm64-v8a__libOVRPlugin.so.txt,Foveated Rendering,medium,ovrp_GetFoveationEyeTrackedCenter,1
ai_realvr_villa-decoded,normalized/ascii/lib__arm64-v8a__libOVRPlugin.so.txt,Foveated Rendering,medium,GetFoveationEyeTrackedCenter(),2
ai_realvr_villa-decoded,normalized/ascii/lib__arm64-v8a__libOVRPlugin.so.txt,General Eye Tracking Enablement,high,EyeTracked,9
ai_realvr_villa-decoded,normalized/ascii/lib__arm64-v8a__libOVRPlugin.so.txt,General Eye Tracking Enablement,high,eyeTrackingSupported,2
ai_realvr_villa-decoded,normalized/ascii/lib__arm64-v8a__libOVRPlugin.so.txt,Raw Data Collection,high,ovrp_GetEyeGazesState,1
ai_realvr_villa-decoded,normalized/ascii/lib__arm64-v8a__libOVRPlugin.so.txt,Raw Data Collection,medium,ovrp_GetEyeTrackingEnabled,1
ai_realvr_villa-decoded,normalized/ascii/lib__arm64-v8a__libUnreal.so.txt,Eye-Tracking Enablement,low,eyeTrack,25
ai_realvr_villa-decoded,normalized/ascii/lib__arm64-v8a__libUnreal.so.txt,Eye-Tracking Enablement,low,eyeTracking,14
ai_realvr_villa-decoded,normalized/ascii/lib__arm64-v8a__libUnreal.so.txt,Biometric Signals & Metrics,high,fixation,1
ai_realvr_villa-decoded,normalized/ascii/lib__arm64-v8a__libUnreal.so.txt,Foveated Rendering,high,GetEyeTrackedFoveatedRenderingSupported,1
ai_realvr_villa-decoded,normalized/ascii/lib__arm64-v8a__libUnreal.so.txt,Foveated Rendering,medium,ovrp_SetFoveationEyeTracked,1
ai_realvr_villa-decoded,normalized/ascii/lib__arm64-v8a__libUnreal.so.txt,Foveated Rendering,medium,ovrp_GetFoveationEyeTrackedCenter,1
ai_realvr_villa-decoded,normalized/ascii/lib__arm64-v8a__libUnreal.so.txt,Foveated Rendering,high,GetEyeTrackedFoveatedRenderingSupported,1
ai_realvr_villa-decoded,normalized/ascii/lib__arm64-v8a__libUnreal.so.txt,Raw Data Collection,high,EyeTrackingState,2
ai_realvr_villa-decoded,normalized/ascii/lib__arm64-v8a__libUnreal.so.txt,General Eye Tracking Enablement,high,EyeTracked,10
ai_realvr_villa-decoded,normalized/ascii/lib__arm64-v8a__libUnreal.so.txt,General Eye Tracking Enablement,high,eyeTrackingSupported,2
ai_realvr_villa-decoded,normalized/ascii/lib__arm64-v8a__libUnreal.so.txt,Raw Data Collection,high,ovrp_GetEyeGazesState,1
